11,243,47,0
104,46,150,1
75,17,208,1
96,168,36,0
125,53,122,0
22,188,90,1
61,191,47,0
20,137,143,1
62,172,66,0
5,181,114,1
141,73,86,0
37,145,118,1
31,201,68,1
45,182,73,0
170,37,93,0
205,61,34,0
75,95,130,1
3,51,246,1
17,49,234,1
70,170,60,0
119,94,88,0
132,16,151,0
26,88,186,1
147,30,123,0
136,121,43,0
83,182,36,0
190,106,4,0
111,42,147,1
57,186,57,0
69,94,137,1
41,231,28,0
249,4,48,0
4,138,158,1
73,43,184,1
280,7,13,0
241,59,0,0
84,168,48,0
14,35,251,1
24,176,100,1
13,157,130,1
156,50,94,0
250,18,32,0
70,87,143,1
41,71,188,1
29,271,1,0
118,69,113,1
243,26,30,0
35,210,54,0
150,122,27,0
213,82,5,0
1,101,199,1
125,114,62,0
220,21,59,0
16,5,278,0
27,123,150,1
120,155,25,0
64,205,31,0
55,53,191,1
221,64,15,0
22,82,196,1
80,88,132,1
93,140,67,0
32,41,227,1
168,97,35,0
145,89,66,0
191,61,48,0
54,121,125,1
24,16,260,1
49,34,217,1
189,7,104,0
66,125,109,1
22,36,241,1
94,140,67,0
135,25,140,0
136,136,28,0
152,108,40,0
78,141,81,0
148,148,4,0
158,2,140,0
74,167,59,0
20,173,107,1
57,181,62,0
22,242,37,0
64,213,23,0
85,134,81,1
42,124,135,1
204,9,88,0
21,83,196,1
178,80,42,0
28,9,263,0
113,112,75,0
18,177,106,1
202,12,86,0
83,157,60,0
134,14,152,0
142,142,16,0
